/BL X,/BL Y,/BL_b X,/BL_b Y,/word X,/word Y,/Q X,/Q Y,/Q_b X,/Q_b Y
0,0.4999998747317867,0,0.4999998740297282,0,0,0,0.9999999735962297,0,1.595646553514885e-08
4e-11,0.4992726771032235,4e-11,0.4992625007331733,4e-11,0,4e-11,0.9999636557990478,4e-11,3.2616840194365e-06
1e-10,0.4986213484887472,1e-10,0.4986044745523476,1e-10,0,1e-10,0.9999612586202232,1e-10,3.848825582951594e-06
2.2e-10,0.4980649404072963,2.2e-10,0.4980467655538667,2.2e-10,0,2.2e-10,0.9999625575268474,2.2e-10,4.06869786003043e-06
4.6e-10,0.4975978282164459,4.6e-10,0.4975828321169121,4.6e-10,0,4.6e-10,0.9999639541988754,4.6e-10,4.234945094728925e-06
9.400000000000001e-10,0.497553412412012,9.400000000000001e-10,0.4975416408478541,9.400000000000001e-10,0,9.400000000000001e-10,0.9999640727005511,9.400000000000001e-10,4.244657940275235e-06
1.74e-09,0.4977158930612738,1.74e-09,0.4977017948779408,1.74e-09,0,1.74e-09,0.999963574546077,1.74e-09,4.187570974774077e-06
2.4e-09,0.4976647546509342,2.4e-09,0.4976509408876464,2.4e-09,0,2.4e-09,0.999963715217966,2.4e-09,4.203940433907813e-06
2.412500000000001e-09,0.5038710765163313,2.412500000000001e-09,0.5030923668151607,2.412500000000001e-09,0.2500000000000022,2.412500000000001e-09,1.00280480224786,2.412500000000001e-09,0.0004973272999427527
2.431250000000001e-09,0.5115939520534815,2.431250000000001e-09,0.4333971332090882,2.431250000000001e-09,0.6250000000000056,2.431250000000001e-09,1.003287389619664,2.431250000000001e-09,0.009517560983950051
2.45e-09,0.568202712600469,2.45e-09,0.1874879316241745,2.45e-09,1,2.45e-09,0.9851699186435887,2.45e-09,0.01966551715142039
2.45834403290388e-09,0.5906189636807042,2.45834403290388e-09,0.09222263213880308,2.45834403290388e-09,1,2.45834403290388e-09,0.9818295260026385,2.45834403290388e-09,0.01204133981519087
2.469782120398391e-09,0.6160534320088702,2.469782120398391e-09,0.01633036357409004,2.469782120398391e-09,1,2.469782120398391e-09,0.9831667483858186,2.469782120398391e-09,0.002814632745927406
2.478774893515326e-09,0.6305754479124148,2.478774893515326e-09,-0.001103842060277237,2.478774893515326e-09,1,2.478774893515326e-09,0.9872432523086359,2.478774893515326e-09,0.0001395734751866639
2.496760439749196e-09,0.6502426590813496,2.496760439749196e-09,0.0001159285432552083,2.496760439749196e-09,1,2.496760439749196e-09,0.9930272948180747,2.496760439749196e-09,-2.266551763468093e-05
2.512529736218416e-09,0.6618306290471511,2.512529736218416e-09,0.0003532592097411239,2.512529736218416e-09,1,2.512529736218416e-09,0.994600785636541,2.512529736218416e-09,7.501483567004603e-06
2.536320537502241e-09,0.6726381591487718,2.536320537502241e-09,-6.572676292762483e-05,2.536320537502241e-09,1,2.536320537502241e-09,0.9953942618327749,2.536320537502241e-09,5.286270621418314e-05
2.583902140069889e-09,0.6840954662498046,2.583902140069889e-09,-5.070473748213086e-05,2.583902140069889e-09,1,2.583902140069889e-09,0.996713461641707,2.583902140069889e-09,3.648414728800404e-06
2.66383344571461e-09,0.6880652913080594,2.66383344571461e-09,2.255284875839767e-05,2.66383344571461e-09,1,2.66383344571461e-09,0.9970586627768685,2.66383344571461e-09,6.151323830791964e-06
2.779012079429766e-09,0.6888178482681983,2.779012079429766e-09,1.011631873770607e-05,2.779012079429766e-09,1,2.779012079429766e-09,0.9970101536440437,2.779012079429766e-09,4.325564064083794e-06
2.9449309321201e-09,0.6880319625724789,2.9449309321201e-09,2.531832990594314e-06,2.9449309321201e-09,1,2.9449309321201e-09,0.9969836740508415,2.9449309321201e-09,4.832724389705467e-06
3.24968246110014e-09,0.6881085079992045,3.24968246110014e-09,5.76336538910614e-06,3.24968246110014e-09,1,3.24968246110014e-09,0.9969908798229844,3.24968246110014e-09,4.590770346425855e-06
3.85918551906022e-09,0.6882999152838403,3.85918551906022e-09,6.246761428246335e-06,3.85918551906022e-09,1,3.85918551906022e-09,0.9969410519358974,3.85918551906022e-09,4.519749138134031e-06
4.37959275953011e-09,0.6881226673728272,4.37959275953011e-09,6.069614418348452e-06,4.37959275953011e-09,1,4.37959275953011e-09,0.9969469285778879,4.37959275953011e-09,4.604115117429642e-06
4.9e-09,0.6880740126358863,4.9e-09,6.017652417072127e-06,4.9e-09,1,4.9e-09,0.996943993783312,4.9e-09,4.562942975288724e-06
4.924999999999999e-09,0.6722850698948868,4.924999999999999e-09,-0.009762270637574807,4.924999999999999e-09,0.5000000000000121,4.924999999999999e-09,0.997756028310031,4.924999999999999e-09,-0.0008854496705480789
4.95e-09,0.6285527160742685,4.95e-09,0.009395644391481137,4.95e-09,7.66053886991358e-15,4.95e-09,0.9959674042740678,4.95e-09,-0.0002756743886003638
4.957910854964477e-09,0.6132036257449568,4.957910854964477e-09,0.02760008575401397,4.957910854964477e-09,0,4.957910854964477e-09,0.9982590283433478,4.957910854964477e-09,0.0001480760977339504
4.971103573742804e-09,0.5905904474256167,4.971103573742804e-09,0.0571710038417286,4.971103573742804e-09,0,4.971103573742804e-09,0.9997438780257362,4.971103573742804e-09,0.00011260081077195
4.981558443077182e-09,0.5763569222630938,4.981558443077182e-09,0.07949479971320417,4.981558443077182e-09,0,4.981558443077182e-09,0.9998389918530297,4.981558443077182e-09,7.382005401391817e-05
5.000000000000001e-09,0.5573598748084769,5.000000000000001e-09,0.1166378682394962,5.000000000000001e-09,0,5.000000000000001e-09,0.9996760707607989,5.000000000000001e-09,7.537332293584369e-05
5.036883113845639e-09,0.5382562487609837,5.036883113845639e-09,0.179955465182469,5.036883113845639e-09,0,5.036883113845639e-09,0.9998181533951138,5.036883113845639e-09,6.643568669623935e-05
5.100000000000001e-09,0.5149967359546602,5.100000000000001e-09,0.2754435345654824,5.100000000000001e-09,0,5.100000000000001e-09,0.9999113244330839,5.100000000000001e-09,4.680948692568039e-05
5.161438848371022e-09,0.5081143452428406,5.161438848371022e-09,0.3435585591864269,5.161438848371022e-09,0,5.161438848371022e-09,0.9999337598069242,5.161438848371022e-09,4.105897751284069e-05
5.192158272556533e-09,0.5049601838783628,5.192158272556533e-09,0.3747742002224836,5.192158272556533e-09,0,5.192158272556533e-09,0.9999397573586385,5.192158272556533e-09,3.37672157521875e-05
5.253597120927555e-09,0.5010115237709123,5.253597120927555e-09,0.4244001637775014,5.253597120927555e-09,0,5.253597120927555e-09,0.9999528532842864,5.253597120927555e-09,2.538100314282963e-05
5.376474817669597e-09,0.4982918965077812,5.376474817669597e-09,0.4780572695856944,5.376474817669597e-09,0,5.376474817669597e-09,0.9999624140361982,5.376474817669597e-09,1.068949215533259e-05
5.436502165025693e-09,0.4978623042023765,5.436502165025693e-09,0.4888475477560294,5.436502165025693e-09,0,5.436502165025693e-09,0.9999631792813796,5.436502165025693e-09,7.158351715550973e-06
5.556556859737884e-09,0.4976890069944964,5.556556859737884e-09,0.4958196514524525,5.556556859737884e-09,0,5.556556859737884e-09,0.9999635369442442,5.556556859737884e-09,4.887976551351005e-06
5.603628396520754e-09,0.4976659084786414,5.603628396520754e-09,0.496790692935142,5.603628396520754e-09,0,5.603628396520754e-09,0.9999636894277714,5.603628396520754e-09,4.527698605589065e-06
5.697771470086494e-09,0.4976520749871136,5.697771470086494e-09,0.4973776800190132,5.697771470086494e-09,0,5.697771470086494e-09,0.9999637586745859,5.697771470086494e-09,4.282891193043052e-06
5.886057617217973e-09,0.4976436781857194,5.886057617217973e-09,0.4977746513954315,5.886057617217973e-09,0,5.886057617217973e-09,0.9999637782648496,5.886057617217973e-09,4.190224401049823e-06
6.262629911480931e-09,0.4976465051307756,6.262629911480931e-09,0.4975926392777713,6.262629911480931e-09,0,6.262629911480931e-09,0.9999637643162362,6.262629911480931e-09,4.200084470370399e-06
6.831314955740465e-09,0.4976462443829572,6.831314955740465e-09,0.4976265172465957,6.831314955740465e-09,0,6.831314955740465e-09,0.9999637677778532,6.831314955740465e-09,4.222047300587746e-06
7.4e-09,0.4976455102973784,7.4e-09,0.4976359850620555,7.4e-09,0,7.4e-09,0.9999637697442,7.4e-09,4.199148174940109e-06
7.4125e-09,0.5038516201862048,7.4125e-09,0.5030771887261151,7.4125e-09,0.2499999999999939,7.4125e-09,1.002804813168245,7.4125e-09,0.0004973226207435711
7.43125e-09,0.5115748607247532,7.43125e-09,0.4333845579195362,7.43125e-09,0.624999999999989,7.43125e-09,1.003287538131392,7.43125e-09,0.009517455205574567
7.45e-09,0.5681908146968661,7.45e-09,0.1874813069931341,7.45e-09,0.9999999999999841,7.45e-09,0.9851675385913697,7.45e-09,0.019664993290429
7.458344032016664e-09,0.5906099849594715,7.458344032016664e-09,0.09221901393378941,7.458344032016664e-09,1,7.458344032016664e-09,0.9818272972661169,7.458344032016664e-09,0.0120409596858756
7.469782119831766e-09,0.6160475123613928,7.469782119831766e-09,0.01632954449228265,7.469782119831766e-09,1,7.469782119831766e-09,0.9831651554398666,7.469782119831766e-09,0.00281452065325603
7.478774893384565e-09,0.6305710339860496,7.478774893384565e-09,-0.001103903249812773,7.478774893384565e-09,1,7.478774893384565e-09,0.9872422133672282,7.478774893384565e-09,0.000139577201061755
7.496760440490162e-09,0.6502399468426542,7.496760440490162e-09,0.0001159727731732079,7.496760440490162e-09,1,7.496760440490162e-09,0.9930268861717678,7.496760440490162e-09,-2.265694405259187e-05
7.512529903860809e-09,0.6618289235736934,7.512529903860809e-09,0.0003532835553633159,7.512529903860809e-09,1,7.512529903860809e-09,0.9946005863992722,7.512529903860809e-09,7.506900093045893e-06
7.536321020878851e-09,0.6726372741621665,7.536321020878851e-09,-6.573301276988997e-05,7.536321020878851e-09,1,7.536321020878851e-09,0.9953941580000926,7.536321020878851e-09,5.286215625036587e-05
7.583903254914935e-09,0.6840953675432743,7.583903254914935e-09,-5.071050350545286e-05,7.583903254914935e-09,1,7.583903254914935e-09,0.9967134931591989,7.583903254914935e-09,3.648116386669131e-06
7.663832051253515e-09,0.6880652144830109,7.663832051253515e-09,2.255853306268622e-05,7.663832051253515e-09,1,7.663832051253515e-09,0.9970586241786514,7.663832051253515e-09,6.150792998915462e-06
7.779008107040365e-09,0.6888178421071871,7.779008107040365e-09,1.011780589967414e-05,7.779008107040365e-09,1,7.779008107040365e-09,0.9970101496798564,7.779008107040365e-09,4.326009693211144e-06
7.944921583416869e-09,0.6880319604318312,7.944921583416869e-09,2.530621965659034e-06,7.944921583416869e-09,1,7.944921583416869e-09,0.9969836756523088,7.944921583416869e-09,4.832332644016486e-06
8.249665843859527e-09,0.6881085178308552,8.249665843859527e-09,5.763229562648149e-06,8.249665843859527e-09,1,8.249665843859527e-09,0.996990884035123,8.249665843859527e-09,4.590745870964231e-06
8.859154364744842e-09,0.6882999175250603,8.859154364744842e-09,6.246879369653627e-06,8.859154364744842e-09,1,8.859154364744842e-09,0.9969410495936056,8.859154364744842e-09,4.519766238969994e-06
9.37957718237242e-09,0.6881226671724536,9.37957718237242e-09,6.069622587614734e-06,9.37957718237242e-09,1,9.37957718237242e-09,0.9969469285019199,9.37957718237242e-09,4.604120138645357e-06
9.899999999999999e-09,0.6880740126040924,9.899999999999999e-09,6.0176449643196e-06,9.899999999999999e-09,1,9.899999999999999e-09,0.9969439938564657,9.899999999999999e-09,4.562938345891247e-06
9.925e-09,0.6722850698756976,9.925e-09,-0.009762270641327984,9.925e-09,0.5000000000000286,9.925e-09,0.9977560283216111,9.925e-09,-0.0008854496715692015
9.95e-09,0.6285527189056616,9.95e-09,0.009395643945635728,9.95e-09,2.420286193682841e-14,9.95e-09,0.9959674042975994,9.95e-09,-0.0002756743833395956
9.957910855587298e-09,0.6132036271429209,9.957910855587298e-09,0.02760008671549579,9.957910855587298e-09,0,9.957910855587298e-09,0.9982590284085142,9.957910855587298e-09,0.0001480760957963831
9.97110357509502e-09,0.5905904473738117,9.97110357509502e-09,0.05717100635250381,9.97110357509502e-09,0,9.97110357509502e-09,0.9997438780471767,9.97110357509502e-09,0.000112600805865294
9.981558445041534e-09,0.5763569214370586,9.981558445041534e-09,0.07949480340225044,9.981558445041534e-09,0,9.981558445041534e-09,0.999838991854877,9.981558445041534e-09,7.382005263268971e-05
1e-08,0.5573598759677473,1e-08,0.1166378678506988,1e-08,0,1e-08,0.9996760707640516,1e-08,7.537332291673244e-05
1.003688310991693e-08,0.5382562506178256,1.003688310991693e-08,0.1799554588643683,1.003688310991693e-08,0,1.003688310991693e-08,0.9998181533857859,1.003688310991693e-08,6.643568758669151e-05
1.01e-08,0.5149967356849028,1.01e-08,0.275443534887348,1.01e-08,0,1.01e-08,0.9999113244362029,1.01e-08,4.680948698238112e-05
1.016143885179581e-08,0.5081143449682523,1.016143885179581e-08,0.3435585626832633,1.016143885179581e-08,0,1.016143885179581e-08,0.9999337598087316,1.016143885179581e-08,4.105897714980545e-05
1.019215827769371e-08,0.5049601835496927,1.019215827769371e-08,0.3747742049189868,1.019215827769371e-08,0,1.019215827769371e-08,0.9999397573592832,1.019215827769371e-08,3.376721485259419e-05
1.025359712948952e-08,0.5010115234587779,1.025359712948952e-08,0.4244001693808148,1.025359712948952e-08,0,1.025359712948952e-08,0.9999528532851543,1.025359712948952e-08,2.538100186961002e-05
1.037647483308115e-08,0.4982918963746658,1.037647483308115e-08,0.4780572734397881,1.037647483308115e-08,0,1.037647483308115e-08,0.9999624140367724,1.037647483308115e-08,1.068949095034661e-05
1.043650217797871e-08,0.4978623041606333,1.043650217797871e-08,0.4888475495216978,1.043650217797871e-08,0,1.043650217797871e-08,0.9999631792815252,1.043650217797871e-08,7.158351148230024e-06
1.055655686777384e-08,0.4976890069904255,1.055655686777384e-08,0.4958196516698425,1.055655686777384e-08,0,1.055655686777384e-08,0.9999635369442482,1.055655686777384e-08,4.887976460956921e-06
1.060362840727788e-08,0.4976659084761717,1.060362840727788e-08,0.496790693071312,1.060362840727788e-08,0,1.060362840727788e-08,0.9999636894277796,1.060362840727788e-08,4.527698557636302e-06
1.069777148628594e-08,0.4976520749858145,1.069777148628594e-08,0.4973776800824625,1.069777148628594e-08,0,1.069777148628594e-08,0.9999637586745904,1.069777148628594e-08,4.282891170157715e-06
1.088605764430208e-08,0.4976436781856238,1.088605764430208e-08,0.4977746513898664,1.088605764430208e-08,0,1.088605764430208e-08,0.9999637782648497,1.088605764430208e-08,4.190224399060608e-06
1.126262996033434e-08,0.4976465051308614,1.126262996033434e-08,0.4975926392745761,1.126262996033434e-08,0,1.126262996033434e-08,0.9999637643162362,1.126262996033434e-08,4.200084474367133e-06
1.183131498016717e-08,0.4976462443829608,1.183131498016717e-08,0.4976265172351298,1.183131498016717e-08,0,1.183131498016717e-08,0.9999637677778531,1.183131498016717e-08,4.222047298918471e-06
1.24e-08,0.497645510297384,1.24e-08,0.4976359850677487,1.24e-08,0,1.24e-08,0.9999637697442001,1.24e-08,4.199148178614294e-06
1.24125e-08,0.503851620186212,1.24125e-08,0.5030771887318976,1.24125e-08,0.250000000000027,1.24125e-08,1.002804813168245,1.24125e-08,0.0004973226207452094
1.243125e-08,0.511574860724784,1.243125e-08,0.4333845579259577,1.243125e-08,0.6250000000000221,1.243125e-08,1.003287538131466,1.243125e-08,0.009517455205614977
1.245e-08,0.5681908146968961,1.245e-08,0.1874813069970882,1.245e-08,1,1.245e-08,0.9851675385914166,1.245e-08,0.01966499329069336
1.245834403201663e-08,0.5906099849594275,1.245834403201663e-08,0.092219013936259,1.245834403201663e-08,1,1.245834403201663e-08,0.9818272972661199,1.245834403201663e-08,0.01204095968611944
1.246978211983173e-08,0.6160475123613492,1.246978211983173e-08,0.01632954449287934,1.246978211983173e-08,1,1.246978211983173e-08,0.9831651554398311,1.246978211983173e-08,0.002814520653379077
1.247877489338453e-08,0.6305710339860116,1.247877489338453e-08,-0.001103903249733141,1.247877489338453e-08,1,1.247877489338453e-08,0.9872422133671933,1.247877489338453e-08,0.0001395772010811397
1.249676044049012e-08,0.6502399468426251,1.249676044049012e-08,0.0001159727731456386,1.249676044049012e-08,1,1.249676044049012e-08,0.993026886171768,1.249676044049012e-08,-2.265694405632322e-05
1.251252990386065e-08,0.6618289235735982,1.251252990386065e-08,0.0003532835553408489,1.251252990386065e-08,1,1.251252990386065e-08,0.9946005863992642,1.251252990386065e-08,7.506900088942635e-06
1.253632102087848e-08,0.6726372741620332,1.253632102087848e-08,-6.573301276318689e-05,1.253632102087848e-08,1,1.253632102087848e-08,0.9953941580000775,1.253632102087848e-08,5.286215625181052e-05
1.258390325491414e-08,0.6840953675431566,1.258390325491414e-08,-5.071050349924689e-05,1.258390325491414e-08,1,1.258390325491414e-08,0.996713493159183,1.258390325491414e-08,3.648116387531641e-06
1.266383205125246e-08,0.6880652144829943,1.266383205125246e-08,2.255853305914522e-05,1.266383205125246e-08,1,1.266383205125246e-08,0.9970586241786545,1.266383205125246e-08,6.150792998436136e-06
1.277900810703891e-08,0.6888178421072024,1.277900810703891e-08,1.011780589894182e-05,1.277900810703891e-08,1,1.277900810703891e-08,0.9970101496798582,1.277900810703891e-08,4.326009693065358e-06
1.294492158341476e-08,0.6880319604318306,1.294492158341476e-08,2.530621966221301e-06,1.294492158341476e-08,1,1.294492158341476e-08,0.9969836756523102,1.294492158341476e-08,4.832332644135128e-06
1.32496658438543e-08,0.6881085178308564,1.32496658438543e-08,5.76322956277245e-06,1.32496658438543e-08,1,1.32496658438543e-08,0.9969908840351249,1.32496658438543e-08,4.590745870960022e-06
1.385915436473339e-08,0.6882999175250674,1.385915436473339e-08,6.246879369577136e-06,1.385915436473339e-08,1,1.385915436473339e-08,0.9969410495936049,1.385915436473339e-08,4.519766239052767e-06
1.43795771823667e-08,0.6881226671724546,1.43795771823667e-08,6.069622587661825e-06,1.43795771823667e-08,1,1.43795771823667e-08,0.9969469285019199,1.43795771823667e-08,4.604120138699084e-06
1.49e-08,0.6880740126040914,1.49e-08,6.01764496424874e-06,1.49e-08,1,1.49e-08,0.9969439938564657,1.49e-08,4.562938345810846e-06
1.4925e-08,0.672285069875695,1.4925e-08,-0.009762270641331304,1.4925e-08,0.4999999999999625,1.4925e-08,0.9977560283216109,1.4925e-08,-0.0008854496715692315
1.495e-08,0.6285527189056616,1.495e-08,0.009395643945635204,1.495e-08,0,1.495e-08,0.9959674042975994,1.495e-08,-0.0002756743833393221
1.49579108555873e-08,0.6132036271429214,1.49579108555873e-08,0.02760008671549605,1.49579108555873e-08,0,1.49579108555873e-08,0.9982590284085145,1.49579108555873e-08,0.0001480760957964373
1.497110357509502e-08,0.5905904473738092,1.497110357509502e-08,0.05717100635250699,1.497110357509502e-08,0,1.497110357509502e-08,0.9997438780471769,1.497110357509502e-08,0.0001126008058652465
1.498155844504154e-08,0.5763569214370583,1.498155844504154e-08,0.07949480340224994,1.498155844504154e-08,0,1.498155844504154e-08,0.9998389918548777,1.498155844504154e-08,7.382005263269209e-05
1.5e-08,0.5573598759677473,1.5e-08,0.1166378678506985,1.5e-08,0,1.5e-08,0.999676070764051,1.5e-08,7.537332291666216e-05
1.503688310991693e-08,0.538256250617825,1.503688310991693e-08,0.179955458864368,1.503688310991693e-08,0,1.503688310991693e-08,0.9998181533857859,1.503688310991693e-08,6.643568758669209e-05
1.51e-08,0.5149967356849011,1.51e-08,0.2754435348873499,1.51e-08,0,1.51e-08,0.9999113244362029,1.51e-08,4.680948698234907e-05
1.516143885179581e-08,0.5081143449682513,1.516143885179581e-08,0.3435585626832554,1.516143885179581e-08,0,1.516143885179581e-08,0.9999337598087316,1.516143885179581e-08,4.10589771498062e-05
1.519215827769372e-08,0.504960183549692,1.519215827769372e-08,0.3747742049189799,1.519215827769372e-08,0,1.519215827769372e-08,0.9999397573592832,1.519215827769372e-08,3.376721485264111e-05
1.525359712948953e-08,0.5010115234587776,1.525359712948953e-08,0.42440016938081,1.525359712948953e-08,0,1.525359712948953e-08,0.9999528532851543,1.525359712948953e-08,2.538100186954936e-05
1.537647483308115e-08,0.4982918963746658,1.537647483308115e-08,0.478057273439786,1.537647483308115e-08,0,1.537647483308115e-08,0.9999624140367724,1.537647483308115e-08,1.068949095033228e-05
1.543650217797872e-08,0.4978623041606335,1.543650217797872e-08,0.4888475495216978,1.543650217797872e-08,0,1.543650217797872e-08,0.9999631792815254,1.543650217797872e-08,7.158351148191887e-06
1.555655686777387e-08,0.4976890069904253,1.555655686777387e-08,0.4958196516698429,1.555655686777387e-08,0,1.555655686777387e-08,0.999963536944248,1.555655686777387e-08,4.887976461056721e-06
1.56036284072779e-08,0.4976659084761716,1.56036284072779e-08,0.4967906930713121,1.56036284072779e-08,0,1.56036284072779e-08,0.9999636894277795,1.56036284072779e-08,4.527698557687568e-06
1.569777148628598e-08,0.4976520749858144,1.569777148628598e-08,0.4973776800824633,1.569777148628598e-08,0,1.569777148628598e-08,0.9999637586745906,1.569777148628598e-08,4.282891170119217e-06
1.588605764430213e-08,0.4976436781856239,1.588605764430213e-08,0.4977746513898669,1.588605764430213e-08,0,1.588605764430213e-08,0.9999637782648497,1.588605764430213e-08,4.190224399024465e-06
1.626262996033442e-08,0.4976465051308615,1.626262996033442e-08,0.4975926392745759,1.626262996033442e-08,0,1.626262996033442e-08,0.9999637643162362,1.626262996033442e-08,4.200084474480252e-06
1.683131498016721e-08,0.497646244382961,1.683131498016721e-08,0.4976265172351296,1.683131498016721e-08,0,1.683131498016721e-08,0.9999637677778532,1.683131498016721e-08,4.222047298950307e-06
1.74e-08,0.4976455102973838,1.74e-08,0.4976359850677486,1.74e-08,0,1.74e-08,0.9999637697442,1.74e-08,4.199148178613166e-06
1.74125e-08,0.5038516201862125,1.74125e-08,0.5030771887318978,1.74125e-08,0.2500000000000601,1.74125e-08,1.002804813168245,1.74125e-08,0.0004973226207453447
1.743125000000001e-08,0.5115748607247859,1.743125000000001e-08,0.4333845579259213,1.743125000000001e-08,0.6250000000000883,1.743125000000001e-08,1.003287538131466,1.743125000000001e-08,0.009517455205617767
1.745e-08,0.5681908146968949,1.745e-08,0.1874813069970662,1.745e-08,1,1.745e-08,0.9851675385914157,1.745e-08,0.01966499329069236
1.745834403201664e-08,0.5906099849594302,1.745834403201664e-08,0.09221901393623333,1.745834403201664e-08,1,1.745834403201664e-08,0.9818272972661213,1.745834403201664e-08,0.01204095968611745
1.746978211983173e-08,0.6160475123613508,1.746978211983173e-08,0.01632954449287334,1.746978211983173e-08,1,1.746978211983173e-08,0.9831651554398303,1.746978211983173e-08,0.002814520653377318
1.747877489338453e-08,0.6305710339860107,1.747877489338453e-08,-0.001103903249731255,1.747877489338453e-08,1,1.747877489338453e-08,0.9872422133671918,1.747877489338453e-08,0.0001395772010812524
1.749676044049011e-08,0.6502399468426215,1.749676044049011e-08,0.0001159727731454552,1.749676044049011e-08,1,1.749676044049011e-08,0.9930268861717683,1.749676044049011e-08,-2.265694405620899e-05
1.751252990386064e-08,0.661828923573595,1.751252990386064e-08,0.0003532835553405949,1.751252990386064e-08,1,1.751252990386064e-08,0.994600586399264,1.751252990386064e-08,7.506900088948991e-06
1.753632102087847e-08,0.6726372741620318,1.753632102087847e-08,-6.573301276285859e-05,1.753632102087847e-08,1,1.753632102087847e-08,0.9953941580000776,1.753632102087847e-08,5.286215625183849e-05
1.758390325491413e-08,0.6840953675431547,1.758390325491413e-08,-5.071050349889777e-05,1.758390325491413e-08,1,1.758390325491413e-08,0.9967134931591831,1.758390325491413e-08,3.648116387643477e-06
1.766383205125248e-08,0.6880652144829938,1.766383205125248e-08,2.255853305894702e-05,1.766383205125248e-08,1,1.766383205125248e-08,0.9970586241786545,1.766383205125248e-08,6.15079299828077e-06
1.77790081070389e-08,0.6888178421072015,1.77790081070389e-08,1.011780589894983e-05,1.77790081070389e-08,1,1.77790081070389e-08,0.997010149679858,1.77790081070389e-08,4.326009693106895e-06
1.794492158341476e-08,0.6880319604318332,1.794492158341476e-08,2.5306219663597e-06,1.794492158341476e-08,1,1.794492158341476e-08,0.9969836756523105,1.794492158341476e-08,4.832332644131023e-06
1.824966584385424e-08,0.6881085178308581,1.824966584385424e-08,5.763229562751687e-06,1.824966584385424e-08,1,1.824966584385424e-08,0.9969908840351249,1.824966584385424e-08,4.590745870942454e-06
1.88591543647332e-08,0.6882999175250634,1.88591543647332e-08,6.246879369622307e-06,1.88591543647332e-08,1,1.88591543647332e-08,0.9969410495936044,1.88591543647332e-08,4.51976623909106e-06
1.93795771823666e-08,0.6881226671724541,1.93795771823666e-08,6.069622587595257e-06,1.93795771823666e-08,1,1.93795771823666e-08,0.9969469285019199,1.93795771823666e-08,4.604120138628392e-06
1.99e-08,0.6880740126040722,1.99e-08,6.01764496423511e-06,1.99e-08,0.9999999999999338,1.99e-08,0.9969439938564678,1.99e-08,4.562938345874922e-06
1.9925e-08,0.6722850698756762,1.9925e-08,-0.009762270641329901,1.9925e-08,0.4999999999999625,1.9925e-08,0.9977560283216114,1.9925e-08,-0.0008854496715691841
1.995e-08,0.6285527189056469,1.995e-08,0.009395643945635974,1.995e-08,0,1.995e-08,0.9959674042975992,1.995e-08,-0.0002756743833394796
1.99579108555873e-08,0.6132036271429087,1.99579108555873e-08,0.02760008671549705,1.99579108555873e-08,0,1.99579108555873e-08,0.9982590284085145,1.99579108555873e-08,0.0001480760957964654
1.997110357509502e-08,0.5905904473738,1.997110357509502e-08,0.05717100635250802,1.997110357509502e-08,0,1.997110357509502e-08,0.999743878047177,1.997110357509502e-08,0.000112600805865188
1.998155844504153e-08,0.5763569214370516,1.998155844504153e-08,0.07949480340225068,1.998155844504153e-08,0,1.998155844504153e-08,0.9998389918548771,1.998155844504153e-08,7.382005263264807e-05
2e-08,0.5573598759677415,2e-08,0.1166378678506991,2e-08,0,2e-08,0.9996760707640516,2e-08,7.537332291673447e-05
2.003688310991693e-08,0.5382562506178219,2.003688310991693e-08,0.1799554588643684,2.003688310991693e-08,0,2.003688310991693e-08,0.9998181533857861,2.003688310991693e-08,6.643568758668508e-05
2.01e-08,0.5149967356849002,2.01e-08,0.2754435348873502,2.01e-08,0,2.01e-08,0.9999113244362028,2.01e-08,4.680948698235287e-05
2.016143885179581e-08,0.5081143449682506,2.016143885179581e-08,0.3435585626832554,2.016143885179581e-08,0,2.016143885179581e-08,0.9999337598087314,2.016143885179581e-08,4.105897714976113e-05
2.019215827769372e-08,0.5049601835496915,2.019215827769372e-08,0.3747742049189799,2.019215827769372e-08,0,2.019215827769372e-08,0.9999397573592829,2.019215827769372e-08,3.376721485260383e-05
